15:14:36.783 WARN  Malformed command packet! Kicking. 
15:32:50.160 WARN  ~~ LOOPS: 11. ENTITY #: 689//295. VIEW #: 9. BACKLOGGED :: 134.727%! ~~ 
15:32:51.186 WARN  ~~ LOOPS: 11. ENTITY #: 690//304. VIEW #: 9. BACKLOGGED :: 142.636%! ~~ 
15:32:52.217 WARN  ~~ LOOPS: 12. ENTITY #: 693//302. VIEW #: 9. BACKLOGGED :: 130.250%! ~~ 
15:32:53.320 WARN  ~~ LOOPS: 12. ENTITY #: 694//294. VIEW #: 9. BACKLOGGED :: 122.500%! ~~ 
15:32:55.417 WARN  ~~ LOOPS: 12. ENTITY #: 697//283. VIEW #: 9. BACKLOGGED :: 145.750%! ~~ 
15:32:56.536 WARN  ~~ LOOPS: 11. ENTITY #: 707//288. VIEW #: 9. BACKLOGGED :: 133.091%! ~~ 
15:32:57.566 WARN  ~~ LOOPS: 11. ENTITY #: 712//297. VIEW #: 9. BACKLOGGED :: 167.455%! ~~ 
15:32:58.590 WARN  ~~ LOOPS: 10. ENTITY #: 719//308. VIEW #: 9. BACKLOGGED :: 182.400%! ~~ 
15:32:59.735 WARN  ~~ LOOPS: 11. ENTITY #: 727//307. VIEW #: 9. BACKLOGGED :: 146.182%! ~~ 
15:33:00.771 WARN  ~~ LOOPS: 8. ENTITY #: 727//316. VIEW #: 9. BACKLOGGED :: 231.375%! ~~ 
15:33:01.803 WARN  ~~ LOOPS: 9. ENTITY #: 729//317. VIEW #: 9. BACKLOGGED :: 156.000%! ~~ 
15:33:02.945 WARN  ~~ LOOPS: 10. ENTITY #: 729//322. VIEW #: 9. BACKLOGGED :: 183.900%! ~~ 
15:33:03.970 WARN  ~~ LOOPS: 10. ENTITY #: 732//325. VIEW #: 9. BACKLOGGED :: 144.000%! ~~ 
15:33:05.008 WARN  ~~ LOOPS: 10. ENTITY #: 728//326. VIEW #: 9. BACKLOGGED :: 196.500%! ~~ 
15:33:06.133 WARN  ~~ LOOPS: 10. ENTITY #: 731//335. VIEW #: 9. BACKLOGGED :: 175.200%! ~~ 
15:33:07.164 WARN  ~~ LOOPS: 10. ENTITY #: 735//338. VIEW #: 9. BACKLOGGED :: 208.500%! ~~ 
15:33:08.316 WARN  ~~ LOOPS: 10. ENTITY #: 733//352. VIEW #: 9. BACKLOGGED :: 211.200%! ~~ 
15:33:09.358 WARN  ~~ LOOPS: 11. ENTITY #: 742//352. VIEW #: 9. BACKLOGGED :: 160.364%! ~~ 
15:33:10.384 WARN  ~~ LOOPS: 10. ENTITY #: 754//332. VIEW #: 9. BACKLOGGED :: 100.500%! ~~ 
15:33:11.542 WARN  ~~ LOOPS: 10. ENTITY #: 764//354. VIEW #: 9. BACKLOGGED :: 245.700%! ~~ 
15:33:12.572 WARN  ~~ LOOPS: 7. ENTITY #: 762//358. VIEW #: 9. BACKLOGGED :: 175.286%! ~~ 
15:33:13.720 WARN  ~~ LOOPS: 8. ENTITY #: 757//356. VIEW #: 9. BACKLOGGED :: 192.000%! ~~ 
15:33:14.754 WARN  ~~ LOOPS: 9. ENTITY #: 752//358. VIEW #: 9. BACKLOGGED :: 185.667%! ~~ 
15:33:15.803 WARN  ~~ LOOPS: 10. ENTITY #: 758//360. VIEW #: 9. BACKLOGGED :: 181.800%! ~~ 
15:33:16.918 WARN  ~~ LOOPS: 9. ENTITY #: 760//353. VIEW #: 9. BACKLOGGED :: 177.333%! ~~ 
15:33:17.972 WARN  ~~ LOOPS: 11. ENTITY #: 760//356. VIEW #: 9. BACKLOGGED :: 109.909%! ~~ 
15:33:19.004 WARN  ~~ LOOPS: 9. ENTITY #: 764//347. VIEW #: 9. BACKLOGGED :: 177.000%! ~~ 
15:33:20.138 WARN  ~~ LOOPS: 10. ENTITY #: 767//361. VIEW #: 9. BACKLOGGED :: 138.900%! ~~ 
15:33:21.175 WARN  ~~ LOOPS: 10. ENTITY #: 772//366. VIEW #: 9. BACKLOGGED :: 180.600%! ~~ 
15:33:22.208 WARN  ~~ LOOPS: 9. ENTITY #: 766//372. VIEW #: 9. BACKLOGGED :: 211.000%! ~~ 
15:33:23.340 WARN  ~~ LOOPS: 9. ENTITY #: 765//365. VIEW #: 9. BACKLOGGED :: 200.667%! ~~ 
15:33:24.368 WARN  ~~ LOOPS: 8. ENTITY #: 764//358. VIEW #: 9. BACKLOGGED :: 183.000%! ~~ 
15:33:25.391 WARN  ~~ LOOPS: 8. ENTITY #: 758//347. VIEW #: 9. BACKLOGGED :: 268.500%! ~~ 
15:33:27.561 WARN  ~~ LOOPS: 11. ENTITY #: 737//322. VIEW #: 9. BACKLOGGED :: 165.818%! ~~ 
15:33:28.597 WARN  ~~ LOOPS: 10. ENTITY #: 733//310. VIEW #: 9. BACKLOGGED :: 100.800%! ~~ 
15:33:29.717 WARN  ~~ LOOPS: 11. ENTITY #: 736//317. VIEW #: 9. BACKLOGGED :: 159.000%! ~~ 
15:33:30.770 WARN  ~~ LOOPS: 12. ENTITY #: 740//325. VIEW #: 9. BACKLOGGED :: 130.750%! ~~ 
15:33:31.790 WARN  ~~ LOOPS: 10. ENTITY #: 741//318. VIEW #: 9. BACKLOGGED :: 181.800%! ~~ 
15:33:32.915 WARN  ~~ LOOPS: 11. ENTITY #: 747//335. VIEW #: 9. BACKLOGGED :: 136.909%! ~~ 
15:33:33.947 WARN  ~~ LOOPS: 11. ENTITY #: 742//347. VIEW #: 9. BACKLOGGED :: 180.000%! ~~ 
15:33:34.969 WARN  ~~ LOOPS: 10. ENTITY #: 743//371. VIEW #: 9. BACKLOGGED :: 148.800%! ~~ 
15:33:35.996 WARN  ~~ LOOPS: 7. ENTITY #: 753//382. VIEW #: 9. BACKLOGGED :: 285.429%! ~~ 
15:34:25.587 WARN  ~~ LOOPS: 13. ENTITY #: 493//272. VIEW #: 6. BACKLOGGED :: 128.769%! ~~ 
15:34:30.716 WARN  ~~ LOOPS: 15. ENTITY #: 496//284. VIEW #: 6. BACKLOGGED :: 107.000%! ~~ 
15:34:32.738 WARN  ~~ LOOPS: 13. ENTITY #: 492//287. VIEW #: 6. BACKLOGGED :: 102.692%! ~~ 
15:34:35.761 WARN  ~~ LOOPS: 13. ENTITY #: 517//322. VIEW #: 6. BACKLOGGED :: 116.538%! ~~ 
15:34:36.784 WARN  ~~ LOOPS: 10. ENTITY #: 526//328. VIEW #: 6. BACKLOGGED :: 124.800%! ~~ 
15:34:37.800 WARN  ~~ LOOPS: 12. ENTITY #: 523//335. VIEW #: 6. BACKLOGGED :: 149.000%! ~~ 
15:34:39.814 WARN  ~~ LOOPS: 13. ENTITY #: 501//308. VIEW #: 6. BACKLOGGED :: 127.615%! ~~ 
15:34:41.943 WARN  ~~ LOOPS: 16. ENTITY #: 481//273. VIEW #: 6. BACKLOGGED :: 105.188%! ~~ 
15:34:42.950 WARN  ~~ LOOPS: 13. ENTITY #: 481//264. VIEW #: 6. BACKLOGGED :: 116.077%! ~~ 
15:34:50.167 WARN  ~~ LOOPS: 13. ENTITY #: 484//265. VIEW #: 6. BACKLOGGED :: 109.615%! ~~ 
15:34:55.322 WARN  ~~ LOOPS: 12. ENTITY #: 497//269. VIEW #: 6. BACKLOGGED :: 154.500%! ~~ 
15:34:56.344 WARN  ~~ LOOPS: 15. ENTITY #: 489//268. VIEW #: 6. BACKLOGGED :: 106.200%! ~~ 
15:34:57.351 WARN  ~~ LOOPS: 14. ENTITY #: 495//267. VIEW #: 6. BACKLOGGED :: 111.643%! ~~ 
15:34:58.360 WARN  ~~ LOOPS: 13. ENTITY #: 507//273. VIEW #: 6. BACKLOGGED :: 130.154%! ~~ 
15:35:00.390 WARN  ~~ LOOPS: 12. ENTITY #: 502//282. VIEW #: 6. BACKLOGGED :: 127.000%! ~~ 
15:35:06.557 WARN  ~~ LOOPS: 13. ENTITY #: 503//280. VIEW #: 5. BACKLOGGED :: 116.308%! ~~ 
15:35:10.601 WARN  ~~ LOOPS: 11. ENTITY #: 501//264. VIEW #: 5. BACKLOGGED :: 119.727%! ~~ 
15:35:12.752 WARN  ~~ LOOPS: 13. ENTITY #: 505//265. VIEW #: 5. BACKLOGGED :: 142.615%! ~~ 
